,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_1,1,324,354.5,17,0,3,117,2600,400,0,0,0,0,1.52
,2,324,161.1,18.2,0,4,106,5950,1190,0,3.4,0,0,1.62
,3,324,170.7,18.5,0,4,110,5950,1190,0,21.3,0,4,1.68
,4,324,223.9,18.9,0,3,110,6150,1340,0,21.3,0,5,1.78
,5,324,228.2,18.4,0,2,113,6340,1450,0,23.9,0,7,1.8
,6,324,225,17.2,0,4,114,6630,1500,0,24.9,0,7,1.81
,7,324,130,18.4,0,3,103,6700,1540,0.9,25.2,0,7,1.86
,8,324,100.6,19,0,2,114,6740,1590,0.9,52.8,0,8,1.89
,9,324,176.5,19,0,3,108,7175,1787,3.4,60.5,57,8,1.92
,10,324,53.6,19,0,2,105,7567,1885,16.8,105,65,9,1.96
Sec_2,1,327.7,336.6,21.3,0,4,106,5810,2030,0,0,0,0,0.712
,2,327.7,240.2,22.1,0,3,104,5900,2200,0,0,0,0,0.72
,3,327.7,155.3,22.4,0,3,104,6100,2500,0,0,0,0,0.752
,4,327.7,77,23,0,2,105,6140,2650,0,9,0,0,0.758
,5,327.7,146.3,22.5,0,2,108,6200,2800,2.9,11,0,6,0.762
,6,327.7,216.3,21.2,0,4,111,6500,2550,34.8,18.6,0,7,0.77
,7,327.7,77.1,22.4,0,4,106,19437,7674,50.6,24.9,0,7,0.781
,8,327.7,90.3,22.8,0,2,105,22755,8472,56.7,27,1,8,0.789
,9,327.7,238.5,22.8,0,2,103,26640,9353,60.9,30.2,1,8,0.794
,10,327.7,62,22.7,0,2,102,30525,10234,76.5,44.3,5,9,0.795
Sec_3,1,487.7,222.4,21.3,0,3,107,1850,610,0,0,0,0,1.211
,2,487.7,224.9,21.2,0,3,109,1880,660,0,0,0,0,1.241
,3,487.7,226.6,21.1,0,3,108,1380,490,31.6,0,0,10,1.273
,4,487.7,424.4,21.2,0,2,105,1760,620,33.7,0,0,11,1
,5,487.7,257.1,21.2,0,4,111,1700,610,36.7,0,0,11,1.356
,6,487.7,256,21.8,0,3,109,1600,610,40.6,0,0,12,1.269
,7,487.7,226.7,22.1,0,3,108,1760,860,66.6,0,0,13,1.311
,8,487.7,82.7,22.6,0,2,106,1800,900,71.6,0,0,13,1.39
,9,487.7,135.4,22.2,0,2,109,1900,1130,75.4,0,0,14,1.414
,10,487.7,93.2,22.5,0,4,110,2140,1270,78.5,0,0,16,1.432
Sec_4,1,543.6,222.5,22.5,0,3,107,1700,570,0,0,0,0,1.31
,2,543.6,229,21.2,0,3,109,1880,660,0,0,0,5,1.36
,3,543.6,226.6,21.1,0,3,108,1380,490,0,0,4,5,1.419
,4,543.6,424.4,21.2,0,2,105,1760,620,1.1,20.7,4,6,1.518
,5,543.6,257.1,21.2,0,4,111,1800,620,0.3,28.8,37,6,1.578
,6,543.6,256,21.8,0,3,109,1600,610,0.4,41.5,41,7,1.645
,7,543.6,226.7,22.1,0,3,108,1760,860,8.2,52.3,51,7,1.692
,8,543.6,82.7,22.6,0,2,106,1800,900,14.5,55.5,61,8,1.729
,9,543.6,135.4,22.2,0,2,109,1900,1130,24.8,57.3,64,8,1.889
,10,543.6,93.2,22.5,0,4,110,2140,1270,28.5,60.5,67,11,2.004
Sec_5,1,434.4,369.1,9.8,79,9,117,5600,1980,0,163.5,27,0,1.034
,2,434.4,275.7,10.6,90.9,6,113,5650,2000,0,167.9,29,3,1.058
,3,434.4,308.1,10.9,44.9,7,113,6400,2800,0,170.8,31,4,1.09
,4,434.4,193.3,11.4,71,4,120,7150,3750,0,182.5,31,5,1.1
,5,434.4,328.2,10.7,149.6,3,119,8250,4200,0,185.1,32,5,1.126
,6,434.4,250.4,9.9,98.2,6,118,9300,4300,0,189.7,32,5,1.137
,7,434.4,215.2,10.8,68.2,8,108,10200,4650,0,214,34,6,1.527
,8,434.4,224.5,11.6,57,5,107,12632,5979,0,253,34,6,1.727
,9,434.4,293.4,11.6,110,5,111,12884,6099,0,261.8,34,6,1.771
,10,434.4,149,11.7,72,3,110,13142,6225,0,276.2,34,6,1.792
Sec_6,1,320,174.9,21.7,0,2,108,5600,1680,0,0,1,0,1.022
,2,320,187.8,22.3,0,3,107,6400,1920,0,0,1,0,1.038
,3,320,270.2,21.6,0,3,103,8000,2400,0,0,2,0,1.0041
,4,320,217.7,22,0,3,103,8000,2400,0,2.4,2,23,1.052
,5,320,154.7,22.8,0,2,108,8000,2400,0.1,3.6,5,24,1.059
,6,320,182.6,21.6,0,3,105,7200,2250,0.1,6.5,8,26,1.065
,7,320,297.7,21.3,0,4,105,6850,2650,0.2,22.6,9,27,1.069
,8,320,366.8,21.5,0,2,104,7200,2800,0.3,70.5,12,27,1.073
,9,320,336.6,21.3,0,4,106,7450,3030,0.5,160.5,28,31,1.101
,10,320,240.2,22.1,0,3,104,7600,3300,1,185.6,39,33,1.107
Sec_7,1,264.2,435.9,12.9,9.8,6,117,2900,900,0,0,0,9,1.181
,2,264.2,433.8,12.4,78.3,5,107,3400,1000,0,0,0,9,1.263
,3,264.2,326.2,12.8,56.2,6,116,3600,1100,0,23.5,10,10,1.292
,4,264.2,179.1,13.8,39,3,119,3400,1000,0,40.2,14,10,1.371
,5,264.2,373.3,12.6,107,5,115,3600,1100,0,77.8,17,11,1.489
,6,264.2,417.7,12.3,20,7,113,3750,1150,0,129.4,24,11,1.569
,7,264.2,494.8,12.5,36,7,116,3800,1150,0,165.3,31,11,2.126
,8,264.2,473.2,12.2,9,6,130,4000,1200,0,193.5,35,14,2.534
,9,264.2,315.6,13,15.5,5,118,4100,1240,0,201.5,41,40,3.065
,10,264.2,231.7,13.4,4.5,6,0,4300,1300,0,246.9,48,176,3.164
Sec_8,1,505.6,242.5,21.8,0,3,108,6500,2650,0,0,0,0,0.491
,2,505.6,135.4,22.2,0,2,111,7000,3240,0,0,0,0,0.512
,3,505.6,54.8,22.7,0,2,111,8500,3500,0,0,0,3,0.534
,4,505.6,168.4,22,0,2,113,6000,2400,0,0,0,4,0.567
,5,505.6,218.8,20.9,0,4,113,6400,2500,0,0,0,55,0.649
,6,505.6,84,22,0,3,104,19437,7674,0,0,0,5,0.66
,7,505.6,75.9,22.4,0,2,107,22755,8472,0,0,0,5,0.684
,8,505.6,183.9,22.3,0,3,109,26640,9353,0,266.4,8,6,0.715
,9,505.6,55.1,22.2,0,2,103,30525,10234,0,301,11,6,0.734
,10,505.6,198,22.5,0,4,104,12159,7469,0,305,12,7,0.746
Sec_9,1,520.7,240.2,22.1,0,3,104,7000,1700,0,0,0,2,0.798
,2,520.7,155.3,22.4,0,3,104,7680,2300,0,0,0,2,0.802
,3,520.7,77,23,0,2,105,8000,2600,0,0,0,2,0.835
,4,520.7,146.3,22.5,0,2,108,7000,3000,0,0,0,6,0.838
,5,520.7,216.3,21.2,0,4,111,6800,2700,0,0,0,6,0.842
,6,520.7,77.1,22.4,0,4,106,19437,7674,0,0,1,7,0.847
,7,520.7,90.3,22.8,0,2,105,22755,8472,0,0,1,7,0.851
,8,520.7,238.5,22.8,0,2,103,26640,9353,0,119.5,1,8,0.857
,9,520.7,62,22.7,0,2,102,30525,10234,0,239.5,4,8,0.858
,10,520.7,195.8,22.9,0,3,100,12284,7546,0,311.3,6,8,0.859
Sec_10,1,520.7,182.6,21.6,0,3,105,7200,2160,0,0,0,0,0.783
,2,520.7,297.7,21.3,0,4,105,7600,2280,0,0,0,0,0.794
,3,520.7,366.8,21.5,0,2,104,7840,2352,0,0,0,0,0.8
,4,520.7,336.6,21.3,0,4,106,6850,2275,0,0,0,2,0.812
